uid,domainID,siteID,namedLocation,collectDate,analyte,analyteConcentration,analyteUnits,sampleCondition,date,sensor_position,median_fDOM,sd_fDOM,se_fDOM
ecd7d0f5-0e7e-4883-add9-b7519ac3d740,D04,CUPE,CUPE.AOS.S2,2017-08-28T11:35:00Z,DOC,1.291,milligramsPerLiter,GOOD,2017-08-28,NA,NA,NA,NA
6d42de59-0639-4d01-8bc7-273bed91113a,D04,CUPE,CUPE.AOS.S2,2017-08-28T11:35:00Z,DOC,1.376,milligramsPerLiter,GOOD,2017-08-28,NA,NA,NA,NA
27e85ff1-5189-42f4-861c-309303698bbe,D04,CUPE,CUPE.AOS.S2,2017-08-28T11:35:00Z,DOC,1.325,milligramsPerLiter,GOOD,2017-08-28,NA,NA,NA,NA
c30c5d55-003a-4ead-bfda-57d3027efac8,D04,CUPE,CUPE.AOS.S2,2017-09-12T11:25:00Z,DOC,1.886,milligramsPerLiter,GOOD,2017-09-12,NA,NA,NA,NA
a46f1e09-f3a5-4e58-9999-1da0947a1823,D04,CUPE,CUPE.AOS.S2,2017-11-07T11:47:00Z,DOC,1.106,milligramsPerLiter,GOOD,2017-11-07,NA,NA,NA,NA
5abb2b57-ed2e-4a7f-b87d-bbaa6bcc8666,D04,CUPE,CUPE.AOS.S2,2017-11-14T11:31:00Z,DOC,0.9692,milligramsPerLiter,GOOD,2017-11-14,NA,NA,NA,NA
fdb76736-e040-4397-9c12-4ccf69574f7b,D04,CUPE,CUPE.AOS.S2,2017-11-29T11:22:00Z,DOC,0.98740000000000006,milligramsPerLiter,GOOD,2017-11-29,NA,NA,NA,NA
5d2462a0-4034-4373-8e7e-cd6ef72579c8,D04,CUPE,CUPE.AOS.S2,2017-12-19T11:54:00Z,DOC,0.465,milligramsPerLiter,GOOD,2017-12-19,NA,NA,NA,NA
bd9e8a00-4458-41dd-92f1-05532c8c72dc,D04,CUPE,CUPE.AOS.S2,2018-01-16T12:00:00Z,DOC,0.5701,milligramsPerLiter,GOOD,2018-01-16,NA,NA,NA,NA
7baf4bbc-73bc-4854-9168-968dec637f4e,D04,CUPE,CUPE.AOS.S2,2018-02-20T12:32:00Z,DOC,0.6889,milligramsPerLiter,GOOD,2018-02-20,NA,NA,NA,NA
c3cacebe-9b4d-4ba7-8846-87874bb8c4a9,D04,CUPE,CUPE.AOS.S2,2018-02-28T11:30:00Z,DOC,2.105,milligramsPerLiter,GOOD,2018-02-28,NA,NA,NA,NA
a8887251-4626-4434-b7e5-ffa36fa14d25,D04,CUPE,CUPE.AOS.S2,2018-03-20T12:47:00Z,DOC,1.07,milligramsPerLiter,GOOD,2018-03-20,NA,NA,NA,NA
2f0712c7-991c-4a1b-affe-8e3cbfa1c4d6,D04,CUPE,CUPE.AOS.S2,2018-04-17T11:29:00Z,DOC,1.098,milligramsPerLiter,GOOD,2018-04-17,NA,NA,NA,NA
7659daf5-2ad3-446a-932c-d8af8328e0c9,D04,CUPE,CUPE.AOS.S2,2018-04-25T11:27:00Z,DOC,1.675,milligramsPerLiter,GOOD,2018-04-25,NA,NA,NA,NA
4324f45f-5e45-4648-a728-a2b1dd5fb917,D04,CUPE,CUPE.AOS.S2,2018-05-15T11:23:00Z,DOC,0.6445,milligramsPerLiter,GOOD,2018-05-15,NA,NA,NA,NA
eb0be636-e0e5-42c7-ace9-20794d5ad211,D04,CUPE,CUPE.AOS.S2,2018-05-24T11:44:00Z,DOC,1.168,milligramsPerLiter,GOOD,2018-05-24,102.1,17.4,0.6502792169946472,4.5697766478892986e-4
8b88fdc8-58ff-4530-aa0e-49fadd6afe6b,D04,CUPE,CUPE.AOS.S2,2018-06-13T11:20:00Z,DOC,0.8633,milligramsPerLiter,GOOD,2018-06-13,102.1,12.315000000000001,0.24327909259749841,5.243083892187466e-4
15d6e60e-883b-4af5-9b26-c458cfeb6705,D04,CUPE,CUPE.AOS.S2,2018-06-20T11:45:00Z,DOC,NA,milligramsPerLiter,Other,2018-06-20,102.1,10.98,1.7856796219813935,0.001255752195486212
45bcbc09-8ba1-4c74-9ae3-d1bc237790a4,D04,CUPE,CUPE.AOS.S2,2018-07-10T11:44:00Z,DOC,0.8806,milligramsPerLiter,GOOD,2018-07-10,NA,NA,NA,NA
b91d14e8-3f08-4803-b64d-396a41e69366,D04,CUPE,CUPE.AOS.S2,2018-07-10T11:44:00Z,DOC,0.924,milligramsPerLiter,GOOD,2018-07-10,NA,NA,NA,NA
