uid,domainID,siteID,namedLocation,collectDate,analyte,analyteConcentration,analyteUnits,sampleCondition,date,sensor_position,median_fDOM,sd_fDOM,se_fDOM
3f5f9f6c-c288-4196-82a8-00999ce1d893,D14,SYCA,SYCA.AOS.S2,2019-03-19T18:25:00Z,DOC,4.46,milligramsPerLiter,GOOD,2019-03-19,NA,NA,NA,NA
31e7b661-3996-48ec-9277-17a74f128d42,D14,SYCA,SYCA.AOS.S2,2019-03-25T20:16:00Z,DOC,3.799,milligramsPerLiter,GOOD,2019-03-25,NA,NA,NA,NA
282171d8-4bfc-4ba9-84f9-d71860cf5df4,D14,SYCA,SYCA.AOS.S2,2019-04-09T15:40:00Z,DOC,3.637,milligramsPerLiter,GOOD,2019-04-09,NA,NA,NA,NA
fd9f0cc8-5219-409d-959e-5efc5066b876,D14,SYCA,SYCA.AOS.S2,2019-04-16T16:20:00Z,DOC,3.524,milligramsPerLiter,GOOD,2019-04-16,NA,NA,NA,NA
6cb68383-71ee-4ce8-8922-b8a7523385f4,D14,SYCA,SYCA.AOS.S2,2019-04-24T16:04:00Z,DOC,12.83,milligramsPerLiter,GOOD,2019-04-24,NA,NA,NA,NA
a6568d57-0caf-4242-aff5-397a5ea41618,D14,SYCA,SYCA.AOS.S2,2019-05-01T15:46:00Z,DOC,7.145,milligramsPerLiter,GOOD,2019-05-01,NA,NA,NA,NA
dfa34f03-86a3-4940-864e-fd459ce90831,D14,SYCA,SYCA.AOS.S2,2019-05-08T16:49:00Z,DOC,3.329,milligramsPerLiter,GOOD,2019-05-08,102.1,57.85,1.0856648142508818,7.539338987853346e-4
1d4fa977-090d-4fdc-9abe-4b5c92a90b8c,D14,SYCA,SYCA.AOS.S2,2019-05-08T16:49:00Z,DOC,3.23,milligramsPerLiter,GOOD,2019-05-08,102.1,57.85,1.0856648142508818,7.539338987853346e-4
9aed8720-b251-4bf5-851d-f264465669ed,D14,SYCA,SYCA.AOS.S2,2019-05-08T16:49:00Z,DOC,3.542,milligramsPerLiter,GOOD,2019-05-08,102.1,57.85,1.0856648142508818,7.539338987853346e-4
874151cc-3364-46bf-9057-74044eb5b5d4,D14,SYCA,SYCA.AOS.S2,2019-05-28T18:30:00Z,DOC,2.734,milligramsPerLiter,GOOD,2019-05-28,102.1,55.42,0.7451100194702299,5.360503737195898e-4
497389d9-26c7-4229-aade-6d5234d57c6d,D14,SYCA,SYCA.AOS.S2,2019-06-18T16:10:00Z,DOC,2.681,milligramsPerLiter,GOOD,2019-06-18,NA,NA,NA,NA
daf1aa90-c0c1-4c1f-9905-33dca28e8d90,D14,SYCA,SYCA.AOS.S2,2019-07-09T18:00:00Z,DOC,2.457,milligramsPerLiter,GOOD,2019-07-09,NA,NA,NA,NA
ff2f9df6-87db-44c0-9773-fa87756fe534,D14,SYCA,SYCA.AOS.S2,2019-07-16T18:00:00Z,DOC,2.59,milligramsPerLiter,GOOD,2019-07-16,102.1,52.47,0.7480668523084123,5.231236729429456e-4
e4d34c57-2160-4ae9-a9c5-af75edfad428,D14,SYCA,SYCA.AOS.S2,2019-08-27T15:30:00Z,DOC,1.718,milligramsPerLiter,OK,2019-08-27,102.1,5.77,12.053413779950128,0.00961964387865134
92b9ada6-a79a-4c4e-bb62-cb70a6562b0a,D14,SYCA,SYCA.AOS.S2,2019-09-10T16:58:00Z,DOC,3.117,milligramsPerLiter,OK,2019-09-10,NA,NA,NA,NA
1bdf3751-4d25-4e47-8d87-ee97e4fa9e01,D14,SYCA,SYCA.AOS.S2,2019-10-01T16:00:00Z,DOC,4.941,milligramsPerLiter,OK,2019-10-01,NA,NA,NA,NA
8e096f41-a8cd-4000-96a1-b72349e2c97c,D14,SYCA,SYCA.AOS.S2,2019-11-19T17:31:00Z,DOC,2.431,milligramsPerLiter,OK,2019-11-19,102.1,60.59,2.1191164920447116,0.0015061240170893473
48e5a2c8-6db5-4c7e-83fa-3ad9c092eb85,D14,SYCA,SYCA.AOS.S2,2019-12-02T17:50:00Z,DOC,5.342,milligramsPerLiter,OK,2019-12-02,NA,NA,NA,NA
58932c34-7aa1-4a7d-9b1d-b3033f1895a1,D14,SYCA,SYCA.AOS.S2,2019-12-10T16:15:00Z,DOC,5.141,milligramsPerLiter,OK,2019-12-10,NA,NA,NA,NA
eedca9eb-a6fe-429a-be4d-acabf0eeb3f8,D14,SYCA,SYCA.AOS.S2,2020-01-09T16:29:00Z,DOC,3.635,milligramsPerLiter,OK,2020-01-09,NA,NA,NA,NA
148bbe57-4c7a-4fbf-a575-6f53684d468b,D14,SYCA,SYCA.AOS.S2,2020-01-09T16:29:00Z,DOC,3.445,milligramsPerLiter,OK,2020-01-09,NA,NA,NA,NA
0873c112-d58a-4a3f-bbf8-51995f79cd01,D14,SYCA,SYCA.AOS.S2,2020-01-09T16:29:00Z,DOC,3.446,milligramsPerLiter,OK,2020-01-09,NA,NA,NA,NA
29070145-0b73-4a57-ab7b-2e3d50afeed1,D14,SYCA,SYCA.AOS.S2,2020-01-28T18:00:00Z,DOC,2.75,milligramsPerLiter,OK,2020-01-28,102.1,48.34,1.1396496520351171,0.0010417272870522094
7d10f47c-9df0-4027-9a27-f26bb8dc5e7e,D14,SYCA,SYCA.AOS.S2,2020-01-30T17:10:00Z,DOC,2.988,milligramsPerLiter,OK,2020-01-30,102.1,44.495000000000005,1.7593497308703219,0.0012217706464377235
58dd777c-b6bd-43f3-a2c8-7bfeac86bbec,D14,SYCA,SYCA.AOS.S2,2020-02-11T18:00:00Z,DOC,4.426,milligramsPerLiter,OK,2020-02-11,102.1,45.15,4.436377411824118,0.003191638425772747
dc0336d7-ce38-4bd5-a525-d9095176d5df,D14,SYCA,SYCA.AOS.S2,2020-02-17T17:30:00Z,DOC,3.316,milligramsPerLiter,OK,2020-02-17,102.1,50.2,1.2646924737924827,0.0010045214247756018
