siteid,month,first_img,last_img
SJER,2017-03,2017-03-28T17:45:05Z,2017-03-28T20:15:58Z
SOAP,2013-06,2013-06-12T08:06:25Z,2013-06-12T09:59:47Z
SOAP,2017-07,2017-06-26T16:44:10Z,2017-06-27T19:54:38Z
SOAP,2018-06,2018-06-11T19:27:53Z,2018-06-12T19:33:10Z
SRER,2017-08,2017-08-24T16:07:32Z,2017-08-29T19:12:37Z
STEI,2016-09,2016-09-11T11:59:39Z,2016-09-12T15:54:26Z
STEI,2017-08,2017-09-03T18:15:28Z,2017-09-12T16:41:41Z
STER,2013-06,2013-06-24T08:51:00Z,2013-06-24T10:06:06Z
STER,2017-07,2017-07-07T15:41:12Z,2017-07-09T18:14:55Z
TALL,2016-05,2016-05-06T14:44:37Z,2016-05-07T15:15:01Z
TEAK,2013-06,2013-06-14T07:26:53Z,2013-06-15T10:33:53Z
TEAK,2017-06,2017-06-27T16:50:00Z,2017-06-30T18:34:16Z
TEAK,2018-06,2018-06-14T17:28:59Z,2018-06-16T19:38:57Z
TOOL,2017-07,2017-07-13T20:11:15Z,2017-07-29T00:32:56Z
TOOL,2018-07,2018-07-07T19:11:52Z,2018-07-24T23:42:59Z
TREE,2016-09,2016-09-11T11:59:39Z,2016-09-12T15:54:26Z
TREE,2017-08,2017-09-03T18:15:28Z,2017-09-12T16:41:41Z
UKFS,2016-07,2016-07-12T15:42:23Z,2016-07-16T15:41:07Z
UKFS,2017-06,2017-06-09T20:35:12Z,2017-06-12T16:29:57Z
UKFS,2018-06,2018-06-01T14:33:35Z,2018-06-01T17:41:48Z
UNDE,2016-09,2016-09-02T15:29:07Z,2016-09-02T15:32:42Z
UNDE,2017-09,2017-09-01T19:26:36Z,2017-09-12T19:40:00Z
WLOU,2017-09,2017-09-13T16:31:38Z,2017-09-13T17:33:56Z
WOOD,2016-06,2016-06-29T14:55:46Z,2016-06-30T22:10:35Z
WOOD,2017-06,2017-06-19T15:24:21Z,2017-06-26T21:11:59Z
WREF,2017-06,2017-06-19T17:02:32Z,2017-06-22T18:31:47Z
