domanID,siteID,namedLocation,domainName,flightbxID,aop_site_id,sitetype,YearSiteVisit,FlightDate,year,flightdate
D03,BARC,BARC.AOS.outlet,Southeast,D03_OSBS_C1_P1_v1,OSBS,outlet,2019_OSBS_5,2019041612,2019,2019-04-16
D03,BARC,BARC.AOS.outlet,Southeast,D03_OSBS_C1_P1_v1,OSBS,outlet,2019_OSBS_5,2019042113,2019,2019-04-21
D03,BARC,BARC.AOS.outlet,Southeast,D03_OSBS_C1_P1_v1,OSBS,outlet,2019_OSBS_5,2019042213,2019,2019-04-22
D03,FLNT,FLNT.AOS.buoy.c0,Southeast,D03_JERC_R2_P1_v1,JERC,buoy.c0,2014_JERC_1,2014052114,2014,2014-05-21
D03,FLNT,FLNT.AOS.buoy.c0,Southeast,D03_JERC_R2_P1_v1,JERC,buoy.c0,2016_JERC_2,2016092012,2016,2016-09-20
D03,FLNT,FLNT.AOS.buoy.c0,Southeast,D03_JERC_R2_P1_v1,JERC,buoy.c0,2016_JERC_2,2016092212,2016,2016-09-22
D03,FLNT,FLNT.AOS.buoy.c0,Southeast,D03_JERC_R2_P1_v1,JERC,buoy.c0,2017_JERC_3,2017091714,2017,2017-09-17
D03,FLNT,FLNT.AOS.buoy.c0,Southeast,D03_JERC_R2_P1_v1,JERC,buoy.c0,2017_JERC_3,2017091813,2017,2017-09-18
D03,FLNT,FLNT.AOS.buoy.c0,Southeast,D03_JERC_R2_P1_v1,JERC,buoy.c0,2018_JERC_4,2018091912,2018,2018-09-19
D03,FLNT,FLNT.AOS.buoy.c0,Southeast,D03_JERC_R2_P1_v1,JERC,buoy.c0,2018_JERC_4,2018092012,2018,2018-09-20
D03,FLNT,FLNT.AOS.buoy.c0,Southeast,D03_JERC_R2_P1_v1,JERC,buoy.c0,2018_JERC_4,2018091613,2018,2018-09-16
D03,FLNT,FLNT.AOS.buoy.c0,Southeast,D03_JERC_R2_P1_v1,JERC,buoy.c0,2019_JERC_5,2019090713,2019,2019-09-07
D03,FLNT,FLNT.AOS.buoy.c0,Southeast,D03_JERC_R2_P1_v1,JERC,buoy.c0,2019_JERC_5,2019090613,2019,2019-09-06
D03,FLNT,FLNT.AOS.buoy.c0,Southeast,D03_JERC_R2_P1_v1,JERC,buoy.c0,2019_JERC_5,2019083017,2019,2019-08-30
D03,FLNT,FLNT.AOS.buoy.c0,Southeast,D03_JERC_R2_P1_v1,JERC,buoy.c0,2019_JERC_5,2019090619,2019,2019-09-06
D03,SUGG,SUGG.AOS.buoy.c0,Southeast,D03_OSBS_C1_P1_v1,OSBS,buoy.c0,2016_OSBS_2,2016092313,2016,2016-09-23
D03,SUGG,SUGG.AOS.buoy.c0,Southeast,D03_OSBS_C1_P1_v1,OSBS,buoy.c0,2017_OSBS_3,2017092713,2017,2017-09-27
D03,SUGG,SUGG.AOS.buoy.c0,Southeast,D03_OSBS_C1_P1_v1,OSBS,buoy.c0,2018_OSBS_4,2018100513,2018,2018-10-05
D03,SUGG,SUGG.AOS.buoy.c0,Southeast,D03_OSBS_C1_P1_v1,OSBS,buoy.c0,2018_OSBS_4,2018101214,2018,2018-10-12
D03,SUGG,SUGG.AOS.buoy.c0,Southeast,D03_OSBS_C1_P1_v1,OSBS,buoy.c0,2018_OSBS_4,2018091513,2018,2018-09-15
D03,SUGG,SUGG.AOS.buoy.c0,Southeast,D03_OSBS_C1_P1_v1,OSBS,buoy.c0,2019_OSBS_5,2019041512,2019,2019-04-15
D03,SUGG,SUGG.AOS.buoy.c0,Southeast,D03_OSBS_C1_P1_v1,OSBS,buoy.c0,2019_OSBS_5,2019041612,2019,2019-04-16
D03,SUGG,SUGG.AOS.buoy.c0,Southeast,D03_OSBS_C1_P1_v1,OSBS,buoy.c0,2019_OSBS_5,2019042113,2019,2019-04-21
D03,SUGG,SUGG.AOS.buoy.c0,Southeast,D03_OSBS_C1_P1_v1,OSBS,buoy.c0,2019_OSBS_5,2019042213,2019,2019-04-22
D03,SUGG,SUGG.AOS.inlet,Southeast,D03_OSBS_C1_P1_v1,OSBS,inlet,2016_OSBS_2,2016092313,2016,2016-09-23
D03,SUGG,SUGG.AOS.inlet,Southeast,D03_OSBS_C1_P1_v1,OSBS,inlet,2017_OSBS_3,2017092713,2017,2017-09-27
D03,SUGG,SUGG.AOS.inlet,Southeast,D03_OSBS_C1_P1_v1,OSBS,inlet,2018_OSBS_4,2018100513,2018,2018-10-05
D03,SUGG,SUGG.AOS.inlet,Southeast,D03_OSBS_C1_P1_v1,OSBS,inlet,2018_OSBS_4,2018101214,2018,2018-10-12
D03,SUGG,SUGG.AOS.inlet,Southeast,D03_OSBS_C1_P1_v1,OSBS,inlet,2018_OSBS_4,2018091513,2018,2018-09-15
D03,SUGG,SUGG.AOS.inlet,Southeast,D03_OSBS_C1_P1_v1,OSBS,inlet,2019_OSBS_5,2019041512,2019,2019-04-15
D03,SUGG,SUGG.AOS.inlet,Southeast,D03_OSBS_C1_P1_v1,OSBS,inlet,2019_OSBS_5,2019041612,2019,2019-04-16
D03,SUGG,SUGG.AOS.inlet,Southeast,D03_OSBS_C1_P1_v1,OSBS,inlet,2019_OSBS_5,2019042113,2019,2019-04-21
D03,SUGG,SUGG.AOS.inlet,Southeast,D03_OSBS_C1_P1_v1,OSBS,inlet,2019_OSBS_5,2019042213,2019,2019-04-22
D03,SUGG,SUGG.AOS.outlet,Southeast,D03_OSBS_C1_P1_v1,OSBS,outlet,2016_OSBS_2,2016092313,2016,2016-09-23
D03,SUGG,SUGG.AOS.outlet,Southeast,D03_OSBS_C1_P1_v1,OSBS,outlet,2017_OSBS_3,2017092713,2017,2017-09-27
D03,SUGG,SUGG.AOS.outlet,Southeast,D03_OSBS_C1_P1_v1,OSBS,outlet,2018_OSBS_4,2018100513,2018,2018-10-05
D03,SUGG,SUGG.AOS.outlet,Southeast,D03_OSBS_C1_P1_v1,OSBS,outlet,2018_OSBS_4,2018101214,2018,2018-10-12
D03,SUGG,SUGG.AOS.outlet,Southeast,D03_OSBS_C1_P1_v1,OSBS,outlet,2018_OSBS_4,2018091513,2018,2018-09-15
D03,SUGG,SUGG.AOS.outlet,Southeast,D03_OSBS_C1_P1_v1,OSBS,outlet,2019_OSBS_5,2019041512,2019,2019-04-15
D03,SUGG,SUGG.AOS.outlet,Southeast,D03_OSBS_C1_P1_v1,OSBS,outlet,2019_OSBS_5,2019041612,2019,2019-04-16
D03,SUGG,SUGG.AOS.outlet,Southeast,D03_OSBS_C1_P1_v1,OSBS,outlet,2019_OSBS_5,2019042113,2019,2019-04-21
D03,SUGG,SUGG.AOS.outlet,Southeast,D03_OSBS_C1_P1_v1,OSBS,outlet,2019_OSBS_5,2019042213,2019,2019-04-22
D04,CUPE,CUPE.AOS.S2,Atlantic Neotropical,D04_CUPE_A1_P1_v1,CUPE,S2,2018_CUPE_1,2018051412,2018,2018-05-14
D04,CUPE,CUPE.AOS.S2,Atlantic Neotropical,D04_CUPE_A1_P1_v1,CUPE,S2,2018_CUPE_1,2018052012,2018,2018-05-20
D04,CUPE,CUPE.AOS.reach,Atlantic Neotropical,D04_CUPE_A1_P1_v1,CUPE,reach,2018_CUPE_1,2018051412,2018,2018-05-14
D04,CUPE,CUPE.AOS.reach,Atlantic Neotropical,D04_CUPE_A1_P1_v1,CUPE,reach,2018_CUPE_1,2018052012,2018,2018-05-20
D04,GUIL,GUIL.AOS.S2,Atlantic Neotropical,D04_GUIL_A2_P1_v1,GUIL,S2,2018_GUIL_1,2018052110,2018,2018-05-21
D05,CRAM,CRAM.AOS.outlet,Great Lakes,D05_UNDE_C1_P1_v1,UNDE,outlet,2016_UNDE_1,2016090214,2016,2016-09-02
D05,CRAM,CRAM.AOS.outlet,Great Lakes,D05_UNDE_C1_P1_v1,UNDE,outlet,2017_UNDE_2,2017091214,2017,2017-09-12
